Id,SalePrice
1461,127400.0
1462,155910.0
1463,184950.0
1464,174950.0
1465,190320.0
1466,180534.0
1467,172550.0
1468,176848.0
1469,178650.0
1470,117300.0
1471,183100.0
1472,89920.0
1473,95150.0
1474,144800.0
1475,121550.0
1476,386012.5
1477,253806.8
1478,292390.0
1479,342546.3
1480,531775.0
1481,273080.0
1482,202411.2
1483,199561.3
1484,173998.0
1485,173010.0
1486,207660.0
1487,335750.0
1488,283707.7
1489,198630.0
1490,242000.0
1491,193170.0
1492,91890.0
1493,190485.0
1494,311000.0
1495,299900.0
1496,238769.0
1497,204333.5
1498,158125.03333333335
1499,154371.73333333334
1500,156503.3
1501,174290.0
1502,153805.2
1503,274527.1
1504,225763.5
1505,224525.0
1506,166960.0
1507,267290.0
1508,204734.0
1509,159190.0
1510,156400.0
1511,155535.0
1512,181930.0
1513,160995.0
1514,134520.0
1515,166040.0
1516,148265.0
1517,149000.0
1518,133187.5
1519,201800.0
1520,141950.0
1521,142450.0
1522,169650.0
1523,106780.0
1524,132342.5
1525,128640.0
1526,142900.0
1527,115870.0
1528,117680.0
1529,142690.0
1530,160250.0
1531,128950.0
1532,83080.0
1533,131477.1
1534,114130.0
1535,137840.0
1536,119688.0
1537,96900.0
1538,123725.0
1539,182285.3
1540,167330.0
1541,124840.0
1542,137320.0
1543,208560.0
1544,94010.0
1545,95235.0
1546,129150.0
1547,143760.0
1548,131060.0
1549,112620.0
1550,148200.0
1551,97981.1
1552,152102.1
1553,153627.4
1554,117100.8
1555,181297.0
1556,108925.0
1557,115965.0
1558,100730.0
1559,124890.0
1560,138680.0
1561,134050.0
1562,110317.4
1563,105866.6
1564,161310.0
1565,153215.0
1566,213700.0
1567,82750.0
1568,211800.0
1569,157190.2
1570,130590.0
1571,129880.0
1572,125400.0
1573,253305.8
1574,163050.0
1575,237240.0
1576,244600.0
1577,199295.6
1578,157365.0
1579,143200.0
1580,179109.0
1581,140520.0
1582,117690.0
1583,298795.0
1584,229790.0
1585,140716.66666666666
1586,98785.0
1587,116150.0
1588,140935.0
1589,110720.0
1590,135550.0
1591,95795.0
1592,118795.0
1593,105480.0
1594,180260.0
1595,162640.0
1596,215465.0
1597,220000.0
1598,193040.0
1599,138150.0
1600,170219.5
1601,85002.2
1602,83810.0
1603,98895.2
1604,266783.7
1605,273100.0
1606,174150.0
1607,240880.0
1608,246719.0
1609,215579.2
1610,199190.0
1611,154410.9
1612,199833.4
1613,185773.1
1614,128850.0
1615,97140.0
1616,93840.0
1617,94500.0
1618,123705.0
1619,136530.0
1620,252460.0
1621,140050.0
1622,140040.0
1623,221325.0
1624,187640.0
1625,113350.0
